Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Academy Burlington),Lease Number,001-0229101-000,Maturity Date,15-Jun-23,Equipment Payment,$94.00,Lease Provider,DE LAGE LANDEN,Total Funded,"$5,047.14",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,MP C407,C498P400464,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Academy Burlington)     $5,047.14","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0231698-000,Maturity Date,01-Sep-22,Equipment Payment,$620.00,Lease Provider,DE LAGE LANDEN,Total Funded,"$8,832.60",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,AFICIO MP 7502SP,W873L600143,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0232878-000,Maturity Date,15-Oct-19,Equipment Payment,"$1,204.29",Lease Provider,DE LAGE LANDEN,Total Funded,"$4,647.42",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,MP 5002SP,W533LB00546,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0233194-000,Maturity Date,01-Oct-20,Equipment Payment,$419.00,Lease Provider,DE LAGE LANDEN,Total Funded,"$9,508.61",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,AFICIO MP 500,W533L101469,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0233194-000,Maturity Date,01-Oct-20,Equipment Payment,$419.00,Lease Provider,DE LAGE LANDEN,Total Funded,"$9,508.61",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,AFICIO MP 600,W863L300800,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0233524-000,Maturity Date,01-Nov-24,Equipment Payment,"$1,916.00",Lease Provider,DE LAGE LANDEN,Total Funded,"$38,818.12",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,MP 6503,G658L800328,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0233524-000,Maturity Date,01-Nov-24,Equipment Payment,"$1,916.00",Lease Provider,DE LAGE LANDEN,Total Funded,"$38,818.12",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,MP 6503,G658L800448,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,001-0237762-000,Maturity Date,15-Mar-24,Equipment Payment,$707.00,Lease Provider,DE LAGE LANDEN,Total Funded,"$12,605.25",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,5055,C337R900184,,160 AVENUE ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,9763864001,Maturity Date,30-Aug-19,Equipment Payment,$697.62,Lease Provider,Wells Fargo,Total Funded,"$12,111.46",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,,W864L600048,,BLYTH ACADEMY-MISSISSAUGA THE CAWTHRA ESTATE 1507 CAWTHRA ROAD TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
Lease Risk Report,,,,Sales Rep,AdamShoff,2016169 Ontario Inc (DBA: Blyth Education),Lease Number,9822726001,Maturity Date,30-Aug-20,Equipment Payment,$153.51,Lease Provider,Wells Fargo,Total Funded,"$2,618.74",Payments Remaining,,Equipment,Make,Model,Serial Number,Equipment ID,Address,,SP C431DN,S9458700144,,BLYTH ACADEMY -ROCKLAND 2016169 ONTARIO INC 720 COUNTRY ROAD 17 TORONTO,Activities,"Total Funded for 2016169 Ontario Inc (DBA: Blyth Education)     $249,625.22","Total Funded for AdamShoff     $2,044,035.19",2019-09-08,Page -1 of 1
